,Appliances,lights,T1,RH_1,T2,RH_2,T3
0,60,30,19.89,47.5966666666667,19.2,44.79,19.79
1,60,30,19.89,46.6933333333333,19.2,44.7225,19.79
2,50,30,19.89,46.3,19.2,44.6266666666667,19.79
3,50,40,19.89,46.0666666666667,19.2,44.59,19.79
4,60,40,19.89,46.3333333333333,19.2,44.53,19.79
5,50,40,19.89,46.0266666666667,19.2,44.5,19.79
6,60,50,19.89,45.7666666666667,19.2,44.5,19.79
7,60,50,19.856666666666698,45.56,19.2,44.5,19.73
8,60,40,19.79,45.5975,19.2,44.4333333333333,19.73
9,70,40,19.856666666666698,46.09,19.23,44.4,19.79
