,GarageArea,AboveMedianPrice,LotArea,OverallQual,OverallCond,TotalBsmtSF,FullBath,HalfBath,BedroomAbvGr,TotRmsAbvGrd,Fireplaces
0,548,1,8450,7,5,856,2,1,3,8,0
1,460,1,9600,6,8,1262,2,0,3,6,1
2,608,1,11250,7,5,920,2,1,3,6,1
3,642,0,9550,7,5,756,1,0,3,7,1
4,836,1,14260,8,5,1145,2,1,4,9,1
5,480,0,14115,5,5,796,1,1,1,5,0
6,636,1,10084,8,5,1686,2,0,3,7,1
7,484,1,10382,7,6,1107,2,1,3,7,2
8,468,0,6120,7,5,952,2,0,2,8,2
9,205,0,7420,5,6,991,1,0,2,5,2
10,384,0,11200,5,5,1040,1,0,3,5,0
11,736,1,11924,9,5,1175,3,0,4,11,2
12,352,0,12968,5,6,912,1,0,2,4,0
13,840,1,10652,7,5,1494,2,0,3,7,1
14,352,0,10920,6,5,1253,1,1,2,5,1
15,576,0,6120,7,8,832,1,0,2,5,0
16,480,0,11241,6,7,1004,1,0,2,5,1
17,516,0,10791,4,5,0,2,0,2,6,0
18,576,0,13695,5,5,1114,1,1,3,6,0
19,294,0,7560,5,6,1029,1,0,3,6,0
20,853,1,14215,8,5,1158,3,1,4,9,1
21,280,0,7449,7,7,637,1,0,3,6,1
22,534,1,9742,8,5,1777,2,0,3,7,1
23,572,0,4224,5,7,1040,1,0,3,6,1
24,270,0,8246,5,8,1060,1,0,3,6,1
25,890,1,14230,8,5,1566,2,0,3,7,1
26,576,0,7200,5,7,900,1,0,3,5,0
27,772,1,11478,8,5,1704,2,0,3,7,1
28,319,1,16321,5,6,1484,1,0,2,6,2
29,240,0,6324,4,6,520,1,0,1,4,0
30,250,0,8500,4,4,649,1,0,3,6,0
31,271,0,8544,5,6,1228,1,1,3,6,0
32,484,1,11049,8,5,1234,2,0,3,7,0
33,447,1,10552,5,5,1398,1,1,4,6,1
34,556,1,7313,9,5,1561,2,0,2,6,1
35,691,1,13418,8,5,1117,3,1,4,9,1
36,672,0,10859,5,5,1097,1,1,3,6,0
37,498,0,8532,5,6,1297,1,0,3,5,1
38,246,0,7922,5,7,1057,1,0,3,5,0
39,0,0,6040,4,5,0,2,0,2,6,0
40,440,0,8658,6,5,1088,2,0,3,6,1
41,308,1,16905,5,6,1350,1,1,2,5,2
42,504,0,9180,5,7,840,1,0,2,5,0
43,308,0,9200,5,6,938,1,0,3,5,0
44,300,0,7945,5,6,1150,1,0,3,6,0
45,576,1,7658,9,5,1752,2,0,2,6,1
46,670,1,12822,7,5,1434,1,1,1,6,1
47,826,1,11096,8,5,1656,2,0,3,7,0
48,0,0,4456,4,5,736,2,0,2,8,0
49,386,0,7742,5,7,955,1,0,3,6,0
50,388,1,13869,6,6,794,2,0,3,6,0
51,528,0,6240,6,6,816,1,0,3,6,1
52,516,0,8472,5,5,816,1,0,2,5,0
53,894,1,50271,9,5,1842,0,1,0,5,1
54,572,0,7134,5,5,384,1,0,3,6,1
55,576,1,10175,6,5,1425,2,0,3,7,1
56,480,1,2645,8,5,970,2,1,3,7,0
57,565,1,11645,7,5,860,2,1,3,7,0
58,641,1,13682,10,5,1410,3,1,3,10,1
59,352,0,7200,5,7,780,1,0,2,4,0
60,576,0,13072,6,5,1158,1,1,3,5,0
61,288,0,7200,5,7,530,1,0,3,6,0
62,484,1,6442,8,5,1370,2,0,2,6,1
63,480,0,10300,7,6,576,2,0,3,9,0
64,645,1,9375,7,5,1057,2,1,3,8,0
65,852,1,9591,8,5,1143,2,1,4,9,1
66,576,1,19900,7,5,1947,2,0,3,7,1
67,558,1,10665,7,5,1453,2,0,3,7,0
68,220,0,4608,4,6,747,1,0,2,4,0
69,667,1,15593,7,4,1304,2,0,3,7,1
70,516,1,13651,7,6,2223,2,0,3,8,2
71,360,0,7599,4,6,845,1,0,2,4,0
72,427,1,10141,7,5,832,2,1,3,7,1
73,490,0,10200,5,7,1086,1,0,3,6,0
74,379,0,5790,3,6,840,2,0,3,8,0
75,297,0,1596,4,5,462,1,0,2,5,0
76,283,0,8475,4,7,952,1,0,2,4,0
77,240,0,8635,5,5,672,1,0,2,6,0
78,0,0,10778,4,5,1768,2,0,4,8,0
79,440,0,10440,5,6,440,1,1,2,5,0
80,509,1,13000,6,6,896,2,1,4,8,1
81,405,0,4500,6,5,1237,2,0,2,5,0
82,758,1,10206,8,5,1563,2,0,3,6,1
83,461,0,8892,5,5,1065,1,1,3,6,0
84,400,1,8530,7,5,384,2,1,3,7,1
85,462,1,16059,8,5,1288,2,1,4,9,1
86,400,1,11911,6,5,684,2,1,3,6,1
87,528,1,3951,6,5,612,2,1,2,4,0
88,0,0,8470,3,2,1013,1,0,2,6,0
89,0,0,8070,4,5,990,1,0,3,5,0
